miRNA	transcript	r	p.value	number_of_cell_line	m_mean	t_mean	number_of_sample_without_expression
hsa-mir-155	MIR155HG	0.708	1.97e-43	277	8.83252922571342	0.252520066095889	0
hsa-mir-15a	DLEU2	0.292	8.16e-07	276	7.1467340825357	1.96160079755601	0
hsa-mir-15b	SMC4	-0.0399	0.506	280	8.06860245636106	3.8073770106332	0
hsa-mir-16-1	DLEU2	0.135	0.0246	276	7.95305321851193	1.83299323114065	0
hsa-mir-16-2	SMC4	-0.185	0.00196	278	7.97168478947125	3.8073770106332	0
hsa-mir-17	MIR17HG	0.505	3.55e-19	274	10.518230933081	-0.515725628896154	2
hsa-mir-181a-1	MIR181A1HG	0.157	0.193	70	9.43156549377389	-6.36279705292817	218
hsa-mir-181a-2	MIR181A2HG	0.478	3.01e-16	260	10.2460150424018	-1.05096997585048	19
hsa-mir-181b-1	MIR181A1HG	0.0675	0.573	72	7.00808462885725	-6.36279705292817	218
hsa-mir-181b-2	MIR181A2HG	0.31	2.48e-07	266	6.90743620504392	-1.05096997585048	19
hsa-mir-181c	NANOS3	0.263	2.93e-05	247	6.40656414975216	1.13249595898658	40
hsa-mir-181d	NANOS3	0.354	8.27e-09	250	4.5819000117373	1.13249595898658	40
hsa-mir-1825	POFUT1	0.201	0.336	25	-4.64630862363515	5.35936749771502	263
hsa-mir-185	TANGO2	0.244	4.45e-05	274	5.99511227857126	3.4805770214513	0
hsa-mir-186	ZRANB2	0.254	1.59e-05	282	7.97000156010763	4.62023075819128	0
hsa-mir-188	CLCN5	0.438	1.67e-14	279	2.80182980940969	1.66626502449492	3
hsa-mir-18a	MIR17HG	0.395	1.03e-11	275	5.00072369379306	-0.515725628896154	2
hsa-mir-18b	AC002407.1	0.155	0.54	18	-0.540159930689757	-9.83993325234826	270
hsa-mir-1908	FADS1	-0.238	0.119	44	-4.33391594029263	2.89061540425025	243
hsa-mir-1909	REXO1	0.00952	0.937	72	-3.01318956515303	4.16005032955311	212
hsa-mir-190a	TLN2	0.385	4.2e-11	274	2.46990976237125	2.70417376448218	5
hsa-mir-191	DALRD3	0.12	0.0507	266	9.59174984951154	0.936459700853076	3
hsa-mir-1910	C16orf74	0.213	0.0944	63	-2.69218546969199	1.59852796244226	226
hsa-mir-1911	HTR2C	0.514	0.0102	24	-1.83242853990262	-4.79737121423754	267
hsa-mir-1913	RPS6KA2	0.173	0.479	19	-5.51932452991575	2.55174926380439	269
hsa-mir-1914	UCKL1	-0.0557	0.647	70	-3.43126481680366	5.20764385722688	219
hsa-mir-1915	MIR1915HG	-0.0313	0.941	8	-7.26954796174605	-2.3914385798293	283
hsa-mir-192	MIR194-2HG	0.406	2.3e-12	275	15.6198874406675	2.12029449221294	0
hsa-mir-193b	MIR193BHG	0.335	1.42e-08	273	5.65273936737033	-1.88440435144547	0
hsa-mir-194-2	MIR194-2HG	0.447	1.13e-14	270	13.2760701908933	2.12029449221294	0
hsa-mir-195	AC040977.2	0.156	0.549	17	4.93594412547327	-4.68648697905139	272
hsa-mir-195	MIR497HG	0.392	2.17e-11	271	4.93594412547327	0.112721008876718	0
hsa-mir-196a-1	HOXB7	0.0756	0.236	247	7.03552306484892	4.09290341086517	29
hsa-mir-196a-2	AC012531.3	0.17	0.427	24	7.049761523214	-6.93639697699885	266
hsa-mir-196a-2	HOXC6	0.284	0.0843	38	7.049761523214	-4.56434488195873	252
hsa-mir-196b	AC004080.3	0.247	0.000129	236	11.3590477232066	-1.07123920061135	55
hsa-mir-196b	HOXA9	0.372	1.83e-10	275	11.3590477232066	2.52432117988295	16
hsa-mir-197	GNAI3	0.0469	0.445	267	8.94742000678008	3.65885670844547	0
hsa-mir-1976	RPS6KA1	0.369	5.48e-10	265	3.82048848436631	5.54721367033959	0
hsa-mir-198	FSTL1	-0.298	0.322	13	-6.76978031731161	5.4544883841215	278
hsa-mir-199a-2	DNM3OS	0.354	7.35e-10	285	10.5811983163251	0.66399929611806	0
hsa-mir-19a	MIR17HG	0.428	2.31e-13	268	5.48455036810025	-0.515725628896154	10
hsa-mir-19b-1	MIR17HG	0.433	1.23e-13	267	6.93324102177783	-0.515725628896154	3
hsa-mir-19b-2	AC002407.1	-0.0122	0.954	25	6.75696910986672	-9.83993325234826	264
hsa-mir-200c	MIR200CHG	0.203	0.000835	269	13.8829757961268	3.80644817104879	3
hsa-mir-202	MIR202HG	0.149	0.458	27	0.577674467244002	-6.11804251641299	262
hsa-mir-204	TRPM3	0.675	4.52e-29	208	3.170364043297	-3.86295323521776	77
hsa-mir-205	MIR205HG	0.288	0.11	32	2.89642419676974	-2.69427052530481	254
hsa-mir-208b	MYH7	-0.0661	0.934	4	-7.37068835620994	-5.61956137249076	286
hsa-mir-20a	MIR17HG	0.487	1.39e-17	271	9.29849678597919	-0.515725628896154	2
hsa-mir-20b	AC002407.1	0.00354	0.987	24	2.95735450868909	-9.83993325234826	263
hsa-mir-21	VMP1	0.327	3.29e-08	272	17.6750123593377	5.64547032664563	0
hsa-mir-210	MIR210HG	0.445	6.35e-15	278	9.45185271657605	3.13151439313155	0
hsa-mir-211	TRPM1	0.528	0.0948	11	-4.72569031504179	-7.53687844918117	280
hsa-mir-2110	CCDC186	0.208	0.000661	265	1.61426525678198	2.87796116435949	2
hsa-mir-2116	MYO1E	0.0763	0.228	251	-0.12096193374042	3.76578289729276	29
hsa-mir-214	DNM3OS	0.341	3.69e-09	284	4.74376275552551	-0.300958644427441	0
hsa-mir-216a	MIR217HG	0.127	0.606	19	0.533647916303547	-6.93590096463853	268
hsa-mir-216b	MIR217HG	-0.0144	0.971	9	-2.46451005040609	-6.93590096463853	280
hsa-mir-217	MIR217HG	0.358	0.121	20	5.50717472140479	-6.93590096463853	268
hsa-mir-218-1	SLIT2	0.647	1.53e-34	280	3.46419688330685	0.495193646552045	2
hsa-mir-218-2	SLIT3	0.4	4.35e-12	278	3.39502613882353	1.73817260552461	3
hsa-mir-219a-2	AL359091.1	-0.123	0.575	23	-2.98841957099	-7.66026699707642	267
hsa-mir-22	MIR22HG	0.312	1.05e-07	278	15.6194513177672	2.94740350830365	0
hsa-mir-221	MIR222HG	0.466	1.11e-16	283	7.9632919343247	1.38985965810152	0
hsa-mir-222	MIR222HG	0.349	1.76e-09	281	6.3310967426531	1.38985965810152	0
hsa-mir-223	MIR223HG	0.405	1.3e-12	284	8.60164748432196	-0.62322672133213	4
hsa-mir-224	GABRE	0.631	9.29e-33	282	6.43476200230508	2.14210305377987	1
hsa-mir-2276	AL359736.1	0.0656	0.53	94	-2.09028947459496	-4.02834297438237	192
hsa-mir-2276	SPATA13	-0.0314	0.714	138	-2.09028947459496	3.43684124581039	150
hsa-mir-2277	FAM172A	-0.0697	0.27	252	-0.146714549175464	2.09531206619349	34
hsa-mir-2278	AOPEP	-0.155	0.21	67	-3.62663912271561	1.32630329061495	222
hsa-mir-2355	KLF7	0.287	1.54e-06	271	5.04969398588667	2.12227174505346	1
hsa-mir-23a	AC020916.1	0.252	1.86e-05	281	11.5368670105648	1.03286312375584	0
hsa-mir-23b	AOPEP	0.284	2.19e-06	270	9.8380092778791	4.35222778377872	0
hsa-mir-23c	MAP7D2	-0.117	0.164	144	-0.126795063586884	1.88055019517408	140
hsa-mir-24-1	AOPEP	-0.0165	0.786	272	9.98385568462362	4.35222778377872	0
hsa-mir-24-2	AC020916.1	0.0722	0.231	277	9.99230233086591	1.03286312375584	0
hsa-mir-2467	HDAC4	-0.0262	0.908	22	-5.65683194197213	1.7780602492643	269
hsa-mir-25	MCM7	0.47	1.42e-16	276	13.2000809301033	6.86932493402419	0
hsa-mir-2681	FGF14	0.209	0.515	12	-5.48275420060562	-3.97504022049983	277
hsa-mir-2682	MIR137HG	-0.53	0.644	3	-7.04944160324423	-6.88084683769853	288
hsa-mir-26a-1	CTDSPL	0.0466	0.443	273	9.85881491737984	4.16695907344718	0
hsa-mir-26a-2	CTDSP2	0.00585	0.923	276	9.86944185464266	6.05648057367576	0
hsa-mir-26b	CTDSP1	-0.107	0.0788	270	9.27147558057536	6.23077588062095	0
hsa-mir-27a	AC020916.1	0.258	1.23e-05	279	10.5953310072627	1.03286312375584	0
hsa-mir-27b	AOPEP	0.0991	0.101	275	10.2653367641721	4.35222778377872	0
hsa-mir-28	LPP	0.313	2.44e-07	261	12.4609835132098	3.21301020701026	0
hsa-mir-296	AL132655.2	0.54	7.11e-14	165	2.41431155554101	-2.53817649924147	126
hsa-mir-299	MEG8	-0.035	0.978	3	2.20994033899309	-12.382660614975	288
hsa-mir-29a	AC016831.1	0.282	2.35e-06	271	13.2374744836828	-0.93957580312037	0
hsa-mir-29a	AC016831.6	0.2	0.000978	268	13.2374744836828	-2.31294150414191	1
hsa-mir-29b-1	AC016831.1	0.38	1.17e-10	268	8.5717189134489	-0.93957580312037	0
hsa-mir-29b-1	AC016831.6	0.178	0.00368	266	8.5717189134489	-2.31294150414191	1
hsa-mir-29b-2	MIR29B2CHG	0.0393	0.513	280	8.59845739243686	-1.69532073486718	0
hsa-mir-29c	MIR29B2CHG	0.126	0.0363	276	10.1573433277742	-1.69532073486718	0
hsa-mir-301a	SKA2	0.0822	0.174	275	3.12666300609708	4.92977873626808	7
hsa-mir-301b	AP000553.1	0.101	0.124	234	1.03710538949385	-2.81988399459008	55
hsa-mir-302a	MIR302CHG	-0.488	0.676	3	-7.97535085806597	-3.17646164650555	287
hsa-mir-302b	MIR302CHG	-0.491	0.509	4	-7.36580234278373	-3.17646164650555	287
hsa-mir-3064	DDX5	-0.043	0.604	148	-2.23351254382105	7.71777002552648	136
hsa-mir-30a	AL136164.2	0.132	0.832	5	12.3699642557737	-9.12598534715875	283
hsa-mir-30a	LINC00472	0.526	1.08e-19	257	12.3699642557737	-3.73229717110102	18
hsa-mir-30c-1	NFYC	-0.0737	0.226	272	7.34313495762997	4.81256800939369	0
hsa-mir-30c-2	AL136164.2	0.721	0.169	5	7.43468524624954	-9.12598534715875	283
hsa-mir-30c-2	LINC00472	0.0149	0.809	263	7.43468524624954	-4.17973571055142	18
hsa-mir-30e	NFYC	0.155	0.0117	263	12.9066993022784	4.81256800939369	0
hsa-mir-31	MIR31HG	0.76	1.94e-49	256	4.15619463535154	-1.22256741780255	34
hsa-mir-3115	KDM1A	0.0446	0.7	77	-3.52399223584287	5.31740552747883	212
hsa-mir-3116-1	PATJ	-0.0855	0.568	47	-4.27300087149009	3.52483828140531	244
hsa-mir-3117	SGIP1	0.0545	0.424	217	-0.708653188577593	-0.214852150003522	66
hsa-mir-3119-2	METTL11B	-0.276	0.822	3	-8.88522976422665	-4.14168589583049	288
hsa-mir-3120	DNM3	0.041	0.917	9	-5.73873188588264	-0.834186783455713	278
hsa-mir-3121	ACBD6	0.12	0.659	16	-6.00585387288877	4.9188487537909	275
hsa-mir-3125	TRIB2	0.134	0.437	36	-4.70509029415062	3.10165193985675	255
hsa-mir-3126	ANTXR1	-0.326	0.00294	81	-3.23683434914891	4.8734788215991	208
hsa-mir-3127	CNNM4	0.398	1.37e-11	268	3.32223754159826	4.34663832675214	1
hsa-mir-3128	NFE2L2	-0.168	0.349	33	-5.17723167079812	5.84682382060681	257
hsa-mir-3129	COL5A2	-0.118	0.117	179	-1.53430353888722	5.32962484369705	110
hsa-mir-3130-2	FASTKD2	-0.019	0.759	265	1.96667329751485	4.14507412640539	11
hsa-mir-3131	IHH	0.359	8.68e-09	243	1.65635117650719	5.14978534828704	37
hsa-mir-3133	FARP2	-0.0331	0.777	76	-3.53973330401731	2.59441617659345	212
hsa-mir-3135a	KAT2B	0.29	0.315	14	-6.38984863104303	1.80995223554631	277
hsa-mir-3136	TMF1	-0.0492	0.47	218	-0.844743961782264	3.52689832463347	69
hsa-mir-3137	XXYLT1	0.423	0.0126	34	-4.65668725173447	2.84274307819212	254
hsa-mir-3138	WDR1	-0.0694	0.482	105	-2.30818024985292	7.37297356846208	176
hsa-mir-3139	GAB1	-0.125	0.57	23	-5.59136284834689	1.84370286063552	267
hsa-mir-3140	FBXW7	0.0136	0.878	130	-2.52144344711753	1.09902812018333	157
hsa-mir-3142	MIR3142HG	-0.162	0.794	5	-7.57809865676691	0.812032267448882	286
hsa-mir-3145	NHSL1	-0.00233	0.983	88	-3.00802833205801	3.10080487025959	198
hsa-mir-3146	POLR1F	-0.269	0.137	32	-4.86297725638986	3.3408530246324	257
hsa-mir-3150a	NDUFAF6	0.186	0.067	98	-2.59285375129641	-1.9947937502909	191
hsa-mir-3150b	AC068189.1	0.354	0.00088	85	2.74168450897233	-4.96404239000742	203
hsa-mir-3150b	MIR3150BHG	0.433	1.71e-12	242	2.74168450897233	-2.71215688865527	42
hsa-mir-3152	ADAMTSL1	0.0739	0.552	67	-3.61551993531279	-0.789340453431842	218
hsa-mir-3153	CKS2	0.151	0.746	7	-6.81612710509906	7.21773271651967	282
hsa-mir-3155a	PFKFB3	-0.0753	0.384	136	-2.33709067340621	3.85279937416181	148
hsa-mir-3157	ENTPD1-AS1	-0.0895	0.206	201	-1.16763254081023	-0.589683508841187	84
hsa-mir-3158-1	DPCD	0.028	0.71	178	-1.54937774054068	4.87083193728113	102
hsa-mir-3160-1	AMBRA1	-0.353	0.126	20	-5.91314848934786	3.33926992177213	270
hsa-mir-3161	PTPRJ	0.129	0.223	91	-1.50505857877768	3.19207506075848	198
hsa-mir-3162	OSBP	0.106	0.665	19	-4.90932962092709	4.70163511969727	271
hsa-mir-3163	PC	0.133	0.68	12	-6.29943842179661	2.29694310597585	278
hsa-mir-3164	AP003071.5	0.0967	0.611	30	-4.46982818435767	-1.79419065199743	257
hsa-mir-3164	TPCN2	0.0803	0.673	30	-4.46982818435767	1.77399141667513	257
hsa-mir-3165	NUMA1	-0.564	0.0895	10	-6.47809020009098	4.36337994440433	280
hsa-mir-3167	KIRREL3	0.564	0.619	3	-10.034440445354	-2.89332257918644	288
hsa-mir-3170	FARP1	0.319	9.13e-08	268	0.880972165121392	4.58313455722912	14
hsa-mir-3173	DICER1	-0.0585	0.389	219	-0.141609617254931	1.74268611424455	57
hsa-mir-3174	ZNF710	-0.0569	0.493	147	-2.31507873776961	3.25336811429831	139
hsa-mir-3175	AC013394.1	0.0118	0.952	29	-4.6551245967553	-0.485823977938471	257
hsa-mir-3175	CHD2	0.0578	0.757	31	-4.6551245967553	2.84230151875191	257
hsa-mir-3176	CAPN15	-0.0771	0.325	165	-1.55412356832538	4.24016645069405	120
hsa-mir-3177	MAPK8IP3	-0.0999	0.32	101	-2.73839855636629	3.46404973089383	185
hsa-mir-3181	CYLD	-0.094	0.729	16	-6.06073880788271	2.90289089450983	274
hsa-mir-3182	CDH13	-0.0865	0.621	35	-4.52249128375778	2.0625024381536	255
hsa-mir-3183	ABR	0.0185	0.865	87	-2.90634061719349	5.1948688840065	201
hsa-mir-3189	GDF15	0.23	0.000748	212	-0.66016144715643	7.4915025737963	69
hsa-mir-3191	BBC3	-0.0616	0.456	149	-1.97203820821993	4.10708619274095	133
hsa-mir-3192	POLR3F	0.0808	0.585	48	-4.26407823560429	2.84653063913104	238
hsa-mir-3194	NFATC2	0.186	0.0151	171	-1.13026399258949	1.66396917032693	112
hsa-mir-3196	BIRC7	-0.109	0.558	31	-4.62652675854116	-0.419263716738556	260
